Hair_Color,Region_Climate,Companion_Pet,Core_Value,Weapon,House
Red,Hot,Cat,Wealth,Sword,Lannister
Auburn,Cold,Dragon,Honor,Valyrian Steel,Stark
Black,Temperate,Stag,Power,Dagger,Baratheon
Blonde,Temperate,Lion,Wealth,Axe,Lannister
Brown,Temperate,Cat,Power,Sword,Lannister
Silver,Temperate,None,Justice,Valyrian Steel,Targaryen
Blonde,Temperate,Lion,Wealth,Dagger,Lannister
Auburn,Cold,Direwolf,Honor,Axe,Stark
Blonde,Windy,None,Ambition,Valyrian Steel,Lannister
Auburn,Temperate,Dragon,Wealth,Dagger,Targaryen
Blonde,Hot,Lion,Wealth,Dagger,Lannister
Brown,Cold,None,Loyalty,Sword,Stark
Auburn,Cold,Lion,Loyalty,Sword,Stark
Blonde,Hot,Cat,Wealth,Sword,Lannister
Blonde,Hot,Cat,Ambition,Dagger,Lannister
Brown,Temperate,Direwolf,Loyalty,Axe,Stark
Blonde,Cold,Lion,Honor,Warhammer,Lannister
Blonde,Humid,Lion,Wealth,Valyrian Steel,Lannister
Black,Cold,Direwolf,Justice,Warhammer,Stark
Auburn,Humid,Dragon,Justice,Valyrian Steel,Targaryen
Auburn,Hot,Stag,Power,Spear,Baratheon
Auburn,Cold,Stag,Power,Bow,Baratheon
Black,Windy,Direwolf,Knowledge,Dagger,Stark
Red,Windy,Lion,Power,Bow,Lannister
Black,Temperate,Cat,Wealth,Bow,Lannister
Black,Temperate,Stag,Justice,Axe,Baratheon
Silver,Hot,Raven,Power,Valyrian Steel,Targaryen
Silver,Temperate,None,Power,Bow,Targaryen
Brown,Cold,Direwolf,Knowledge,Sword,Stark
Silver,Humid,Dragon,Justice,Sword,Targaryen
Blonde,Humid,None,Wealth,Warhammer,Lannister
Black,Humid,Stag,Honor,Warhammer,Baratheon
Silver,Hot,Stag,Ambition,Warhammer,Baratheon
Brown,Windy,Lion,Wealth,Warhammer,Baratheon
Black,Temperate,Stag,Honor,Bow,Targaryen
Blonde,Temperate,Lion,Knowledge,Bow,Lannister
Brown,Temperate,None,Power,Dagger,Lannister
Black,Cold,Direwolf,Justice,Bow,Stark
Silver,Windy,Stag,Loyalty,Dagger,Baratheon
Brown,Cold,Direwolf,Loyalty,Sword,Stark
Red,Windy,Stag,Honor,Valyrian Steel,Baratheon
Red,Windy,None,Wealth,Spear,Lannister
Black,Temperate,Stag,Justice,Warhammer,Baratheon
Silver,Humid,None,Power,Valyrian Steel,Targaryen
Brown,Windy,Cat,Power,Axe,Baratheon
Brown,Windy,None,Loyalty,Dagger,Baratheon
Silver,Humid,Raven,Justice,Dagger,Targaryen
Blonde,Temperate,Dragon,Power,Dagger,Lannister
Blonde,Cold,Dragon,Ambition,Axe,Lannister
Brown,Temperate,Direwolf,Loyalty,Sword,Stark
Brown,Cold,Direwolf,Loyalty,Valyrian Steel,Stark
Blonde,Hot,Lion,Wealth,Sword,Lannister
Red,Temperate,Direwolf,Honor,Sword,Stark
Black,Cold,Lion,Loyalty,Sword,Stark
Brown,Windy,Stag,Power,Axe,Baratheon
Brown,Cold,Lion,Wealth,Sword,Lannister
Brown,Humid,Lion,Knowledge,Dagger,Baratheon
Black,Cold,Direwolf,Loyalty,Sword,Stark
Blonde,Temperate,None,Power,Sword,Lannister
Brown,Cold,Direwolf,Justice,Axe,Stark
Blonde,Temperate,Cat,Ambition,Spear,Lannister
Red,Temperate,Lion,Wealth,Sword,Baratheon
Brown,Cold,Direwolf,Ambition,Sword,Stark
Black,Temperate,Cat,Loyalty,Warhammer,Baratheon
Silver,Hot,Dragon,Ambition,Valyrian Steel,Targaryen
Black,Hot,Cat,Power,Valyrian Steel,Baratheon
Black,Windy,Cat,Wealth,Warhammer,Baratheon
Brown,Temperate,None,Wealth,Sword,Lannister
Black,Hot,None,Justice,Warhammer,Baratheon
Silver,Hot,Dragon,Ambition,Valyrian Steel,Targaryen
Silver,Temperate,Dragon,Wealth,Valyrian Steel,Targaryen
Auburn,Temperate,Lion,Wealth,Valyrian Steel,Lannister
Silver,Temperate,Cat,Wealth,Valyrian Steel,Targaryen
Silver,Temperate,None,Power,Dagger,Targaryen
Red,Windy,Cat,Power,Sword,Baratheon
Silver,Hot,None,Power,Valyrian Steel,Targaryen
Blonde,Cold,Direwolf,Honor,Spear,Stark
Silver,Windy,Dragon,Power,Valyrian Steel,Targaryen
Red,Cold,None,Honor,Valyrian Steel,Stark
Red,Temperate,Cat,Justice,Dagger,Lannister
Silver,Hot,Dragon,Loyalty,Valyrian Steel,Targaryen
Black,Windy,None,Wealth,Axe,Stark
Black,Cold,Direwolf,Knowledge,Sword,Stark
Red,Windy,Stag,Power,Warhammer,Baratheon
Silver,Windy,None,Justice,Valyrian Steel,Targaryen
Silver,Windy,None,Wealth,Sword,Targaryen
Brown,Windy,Lion,Power,Spear,Lannister
Auburn,Windy,Stag,Power,Axe,Baratheon
Auburn,Temperate,None,Justice,Axe,Stark
Auburn,Humid,Dragon,Knowledge,Sword,Targaryen
Blonde,Temperate,Stag,Loyalty,Axe,Baratheon
Brown,Cold,Cat,Knowledge,Valyrian Steel,Stark
Silver,Humid,Dragon,Power,Sword,Targaryen
Silver,Humid,Dragon,Power,Sword,Targaryen
Blonde,Temperate,Lion,Ambition,Axe,Lannister
Brown,Temperate,Cat,Ambition,Valyrian Steel,Lannister
Auburn,Cold,Direwolf,Wealth,Valyrian Steel,Stark
Blonde,Temperate,Lion,Wealth,Sword,Lannister
Black,Cold,Direwolf,Honor,Bow,Stark
Black,Windy,Stag,Wealth,Sword,Baratheon
Black,Cold,Direwolf,Honor,Axe,Stark
Black,Cold,Direwolf,Honor,Dagger,Stark
Silver,Humid,None,Wealth,Spear,Targaryen
Brown,Temperate,Stag,Power,Dagger,Baratheon
Silver,Hot,Raven,Honor,Spear,Targaryen
